image_index,true_label,adv_label,patch_x,patch_y,patch_size,upper_bound,timeout_milp_s,add_bool_constraints,use_refine_poly,middle_bound,run_scope,global_attempt_index,label_attempt_index,current_depth,status_code,status_name,final_outcome,is_timeout,is_adversarial_found,iteration_runtime_seconds,iteration_runtime_source,attempt_runtime_seconds,parent_total_run_time_seconds,parent_status,parent_attempt_count,parent_max_depth_reached,log_path
2,1,2,0,0,10,0.75,10.0,True,False,0.5,initial_all_labels,0,1,0,9,TIME_LIMIT,timeout,True,False,,initial_label_local_missing,74.774888,5175.025006,Verified,4,1,/root/Projects/Nathan/Patch-Attack-Verification/logs/20260424/20260424_134749_run_02_ub_0p75_timeouts_10_720000/000_all_labels_eran_run.log
2,1,3,0,0,10,0.75,10.0,True,False,0.5,initial_all_labels,0,1,0,9,TIME_LIMIT,timeout,True,False,,initial_label_local_missing,74.774888,5175.025006,Verified,4,1,/root/Projects/Nathan/Patch-Attack-Verification/logs/20260424/20260424_134749_run_02_ub_0p75_timeouts_10_720000/000_all_labels_eran_run.log
2,1,4,0,0,10,0.75,10.0,True,False,0.5,initial_all_labels,0,1,0,6,CUTOFF,verified,False,False,5.484724760055542,initial_label_local_verify_time,74.774888,5175.025006,Verified,4,1,/root/Projects/Nathan/Patch-Attack-Verification/logs/20260424/20260424_134749_run_02_ub_0p75_timeouts_10_720000/000_all_labels_eran_run.log
2,1,5,0,0,10,0.75,10.0,True,False,0.5,initial_all_labels,0,1,0,6,CUTOFF,verified,False,False,4.005980730056763,initial_label_local_verify_time,74.774888,5175.025006,Verified,4,1,/root/Projects/Nathan/Patch-Attack-Verification/logs/20260424/20260424_134749_run_02_ub_0p75_timeouts_10_720000/000_all_labels_eran_run.log
2,1,6,0,0,10,0.75,10.0,True,False,0.5,initial_all_labels,0,1,0,6,CUTOFF,verified,False,False,3.6254992485046387,initial_label_local_verify_time,74.774888,5175.025006,Verified,4,1,/root/Projects/Nathan/Patch-Attack-Verification/logs/20260424/20260424_134749_run_02_ub_0p75_timeouts_10_720000/000_all_labels_eran_run.log
2,1,7,0,0,10,0.75,10.0,True,False,0.5,initial_all_labels,0,1,0,9,TIME_LIMIT,timeout,True,False,,initial_label_local_missing,74.774888,5175.025006,Verified,4,1,/root/Projects/Nathan/Patch-Attack-Verification/logs/20260424/20260424_134749_run_02_ub_0p75_timeouts_10_720000/000_all_labels_eran_run.log
2,1,8,0,0,10,0.75,10.0,True,False,0.5,initial_all_labels,0,1,0,6,CUTOFF,verified,False,False,6.8432700634002686,initial_label_local_verify_time,74.774888,5175.025006,Verified,4,1,/root/Projects/Nathan/Patch-Attack-Verification/logs/20260424/20260424_134749_run_02_ub_0p75_timeouts_10_720000/000_all_labels_eran_run.log
2,1,9,0,0,10,0.75,10.0,True,False,0.5,initial_all_labels,0,1,0,6,CUTOFF,verified,False,False,3.838050127029419,initial_label_local_verify_time,74.774888,5175.025006,Verified,4,1,/root/Projects/Nathan/Patch-Attack-Verification/logs/20260424/20260424_134749_run_02_ub_0p75_timeouts_10_720000/000_all_labels_eran_run.log
2,1,2,0,0,10,0.75,720000.0,True,False,0.5,single_label_rerun,1,2,1,6,CUTOFF,verified,False,False,3511.872924,rerun_attempt_runtime,3511.872924,5175.025006,Verified,4,1,/root/Projects/Nathan/Patch-Attack-Verification/logs/20260424/20260424_134749_run_02_ub_0p75_timeouts_10_720000/001_adv_label_2_eran_run.log
2,1,3,0,0,10,0.75,720000.0,True,False,0.5,single_label_rerun,2,2,1,6,CUTOFF,verified,False,False,45.359833,rerun_attempt_runtime,45.359833,5175.025006,Verified,4,1,/root/Projects/Nathan/Patch-Attack-Verification/logs/20260424/20260424_134749_run_02_ub_0p75_timeouts_10_720000/002_adv_label_3_eran_run.log
2,1,7,0,0,10,0.75,720000.0,True,False,0.5,single_label_rerun,3,2,1,6,CUTOFF,verified,False,False,1543.017361,rerun_attempt_runtime,1543.017361,5175.025006,Verified,4,1,/root/Projects/Nathan/Patch-Attack-Verification/logs/20260424/20260424_134749_run_02_ub_0p75_timeouts_10_720000/003_adv_label_7_eran_run.log
