image_index,true_label,patch_size,patch_x,patch_y,elapsed_time,status_code,failed_labels,is_adversarial,has_counterexample,status_string
7,9,7,0,0,0 days 00:00:04.691457,,[],False,False,
8,5,7,0,0,0 days 00:00:04.334635,,[],False,False,
9,9,7,0,0,0 days 00:00:04.787614,,[],False,False,
0,7,8,0,0,0 days 00:00:05.348410,,[],False,False,
1,2,8,0,0,0 days 00:00:05.104606,,[],False,False,
2,1,8,0,0,0 days 00:00:06.886683,,[],False,False,
3,0,8,0,0,0 days 00:00:05.847382,,[],False,False,
4,4,8,0,0,0 days 00:00:05.647844,,[],False,False,
5,1,8,0,0,0 days 00:00:06.092938,,[],False,False,
6,4,8,0,0,0 days 00:00:05.203263,,[],False,False,
7,9,8,0,0,0 days 00:00:17.316638,6.0,[],False,False,CUTOFF
8,5,8,0,0,0 days 00:00:05.208258,,[],False,False,
9,9,8,0,0,0 days 00:00:05.807159,,[],False,False,
0,7,9,0,0,0 days 00:00:07.359086,,[],False,False,
1,2,9,0,0,0 days 00:00:06.011324,,[],False,False,
2,1,9,0,0,0 days 00:00:08.930914,3.0,[],False,False,INFEASIBLE
3,0,9,0,0,0 days 00:00:06.920416,,[],False,False,
4,4,9,0,0,0 days 00:00:11.248583,6.0,[],False,False,CUTOFF
5,1,9,0,0,0 days 00:00:07.506947,3.0,[],False,False,INFEASIBLE
6,4,9,0,0,0 days 00:00:07.158830,3.0,[],False,False,INFEASIBLE
7,9,9,0,0,0 days 00:15:54.696645,11.0,[2],True,True,INTERRUPTED
8,5,9,0,0,0 days 00:00:22.764820,6.0,[],False,False,CUTOFF
9,9,9,0,0,0 days 00:00:07.431265,3.0,[],False,False,INFEASIBLE
0,7,10,0,0,0 days 00:00:54.577889,6.0,[],False,False,CUTOFF
1,2,10,0,0,0 days 00:00:08.264462,,[],False,False,
2,1,10,0,0,0 days 00:30:19.439353,9.0,[2],False,False,TIME_LIMIT
3,0,10,0,0,0 days 00:00:16.186163,6.0,[],False,False,CUTOFF
4,4,10,0,0,0 days 01:01:20.961067,9.0,[9],False,False,TIME_LIMIT
5,1,10,0,0,0 days 00:30:11.481896,9.0,[2],False,False,TIME_LIMIT
6,4,10,0,0,0 days 00:00:12.589977,3.0,[],False,False,INFEASIBLE
7,9,10,0,0,0 days 00:30:13.609095,9.0,[1],False,False,TIME_LIMIT
8,5,10,0,0,0 days 00:30:13.547527,9.0,[6],False,False,TIME_LIMIT
9,9,10,0,0,0 days 00:00:10.508487,3.0,[],False,False,INFEASIBLE
0,7,11,0,0,0 days 00:31:37.818691,9.0,[2],False,False,TIME_LIMIT
1,2,11,0,0,0 days 00:00:43.300151,6.0,[],False,False,CUTOFF
2,1,11,0,0,0 days 00:19:04.420352,11.0,[2],True,True,INTERRUPTED
3,0,11,0,0,0 days 00:30:17.923465,9.0,[2],False,False,TIME_LIMIT
4,4,11,0,0,0 days 00:33:20.675664,9.0,[2],False,False,TIME_LIMIT
5,1,11,0,0,0 days 00:30:20.619819,9.0,[2],False,False,TIME_LIMIT
6,4,11,0,0,0 days 00:00:15.672287,3.0,[],False,False,INFEASIBLE
7,9,11,0,0,0 days 00:30:14.818787,9.0,[0],False,False,TIME_LIMIT
8,5,11,0,0,0 days 00:19:36.797723,11.0,[6],True,True,INTERRUPTED
9,9,11,0,0,0 days 00:00:15.299431,3.0,[],False,False,INFEASIBLE
0,7,12,0,0,0 days 00:30:22.333477,9.0,[0],False,False,TIME_LIMIT
1,2,12,0,0,0 days 00:33:52.299195,9.0,[1],False,False,TIME_LIMIT
2,1,12,0,0,0 days 00:30:16.995178,9.0,[0],False,False,TIME_LIMIT
3,0,12,0,0,0 days 00:31:02.057519,9.0,[2],False,False,TIME_LIMIT
4,4,12,0,0,0 days 00:30:16.639698,9.0,[0],False,False,TIME_LIMIT
5,1,12,0,0,0 days 00:30:16.806245,9.0,[0],False,False,TIME_LIMIT
6,4,12,0,0,0 days 00:00:16.924708,3.0,[],False,False,INFEASIBLE
7,9,12,0,0,0 days 00:30:16.182461,9.0,[0],False,False,TIME_LIMIT
8,5,12,0,0,0 days 00:30:15.958906,9.0,[0],False,False,TIME_LIMIT
9,9,12,0,0,0 days 00:00:16.169946,3.0,[],False,False,INFEASIBLE
