parameter,feature,kind,unique_values,rows_used,pearson,abs_pearson,spearman,abs_spearman,eta,eta_squared,strength,direction_or_best_level
rhs_coefficient_range_presolved,number_first,embedded_numeric,2,72,0.19314097881850903,0.19314097881850903,0.015079999101171155,0.015079999101171155,,,0.19314097881850903,higher runtime with larger values
rhs_coefficient_range_presolved,number_min,embedded_numeric,2,72,0.19314097881850903,0.19314097881850903,0.015079999101171155,0.015079999101171155,,,0.19314097881850903,higher runtime with larger values
rhs_coefficient_range_presolved,number_mean,embedded_numeric,15,72,0.19308328361821692,0.19308328361821692,-0.038491279749345304,0.038491279749345304,,,0.19308328361821692,lower runtime with larger values
rhs_coefficient_range_presolved,number_last,embedded_numeric,15,72,0.19308328361821436,0.19308328361821436,-0.038491279749345304,0.038491279749345304,,,0.19308328361821436,lower runtime with larger values
rhs_coefficient_range_presolved,number_max,embedded_numeric,15,72,0.19308328361821436,0.19308328361821436,-0.038491279749345304,0.038491279749345304,,,0.19308328361821436,lower runtime with larger values
rhs_coefficient_range_presolved,number_span,embedded_numeric,15,72,0.19308328361821173,0.19308328361821173,-0.038491279749345304,0.038491279749345304,,,0.19308328361821173,lower runtime with larger values
matrix_coefficient_range_presolved,number_mean,embedded_numeric,4,72,0.19241907434511277,0.19241907434511277,-0.037059632300516836,0.037059632300516836,,,0.19241907434511277,lower runtime with larger values
matrix_coefficient_range_presolved,number_last,embedded_numeric,3,72,0.19241907434500208,0.19241907434500208,-0.044763190756690205,0.044763190756690205,,,0.19241907434500208,lower runtime with larger values
matrix_coefficient_range_presolved,number_max,embedded_numeric,3,72,0.19241907434500208,0.19241907434500208,-0.044763190756690205,0.044763190756690205,,,0.19241907434500208,lower runtime with larger values
matrix_coefficient_range_presolved,number_span,embedded_numeric,4,72,0.19241907434489175,0.19241907434489175,-0.05227933396352836,0.05227933396352836,,,0.19241907434489175,lower runtime with larger values
