parameter,level,rows_with_level,pearson,abs_pearson,median_ratio_for_level,median_ratio_without_level,mean_ratio_for_level,mean_ratio_without_level
variable_types_integer_presolved,591,5,-0.1749278469546381,0.1749278469546381,0.6602242455480435,0.9445333120931896,0.6331597368441254,1.014015999540116
extra_simplex_iterations_dual_to_original,42,2,0.17156779395271915,0.17156779395271915,1.5493419216947917,0.9035539411937876,1.5493419216947917,0.97151695442884
variable_types_binary,455,5,0.16804625212324215,0.16804625212324215,0.9836535140674557,0.8699154979092004,1.328033286930951,0.9621597644590093
variable_types_integer,455,5,0.16804625212324215,0.16804625212324215,0.9836535140674557,0.8699154979092004,1.328033286930951,0.9621597644590093
extra_simplex_iterations_dual_to_original,39,4,0.15904416143410222,0.15904416143410222,1.1075853046049198,0.9035539411937876,1.3505071583566695,0.966218264999731
extra_simplex_iterations_dual_to_original,27,1,0.15743408305778347,0.15743408305778347,1.7217771336257264,0.8699154979092004,1.7217771336257264,0.9772266692927135
cutting_planes_strongcg,2.0,2,-0.15616974751430976,0.15616974751430976,0.4762120813548726,0.9382854654873012,0.4762120813548726,1.0021778070099807
linear_constraint_matrix_constrs_presolved,31522,2,-0.15466907556651274,0.15466907556651274,0.4811258176346207,0.9382854654873012,0.4811258176346207,1.0020374145448452
linear_constraint_matrix_nzs,553225,2,-0.15466907556651274,0.15466907556651274,0.4811258176346207,0.9382854654873012,0.4811258176346207,1.0020374145448452
optimizer_presolved_rows,31522,2,-0.15466907556651274,0.15466907556651274,0.4811258176346207,0.9382854654873012,0.4811258176346207,1.0020374145448452
variable_types_continuous,8143,2,-0.15466907556651274,0.15466907556651274,0.4811258176346207,0.9382854654873012,0.4811258176346207,1.0020374145448452
cutting_planes_gomory,1.0,12,0.15178137137908398,0.15178137137908398,0.673058243354689,0.9474024648867784,1.175410871440649,0.9499990032686766
matrix_coefficient_range_presolved,"[ 9.78159e-10, 35.1672 ]",21,-0.1476339916667799,0.1476339916667799,0.7455029456622723,0.9445333120931896,0.860230868835912,1.0400004393696909
optimizer_presolve_removed_columns,6813,6,-0.14621497224788058,0.14621497224788058,0.6686496725727422,0.9419559292947085,0.7191690477952948,1.0119675207066154
linear_constraint_matrix_constrs_presolved,31542,2,-0.14442506368876495,0.14442506368876495,0.5146683736127972,0.9382854654873012,0.5146683736127972,1.0010790558026117
linear_constraint_matrix_nzs,553645,2,-0.14442506368876495,0.14442506368876495,0.5146683736127972,0.9382854654873012,0.5146683736127972,1.0010790558026117
linear_constraint_matrix_vars,8718,2,-0.14442506368876495,0.14442506368876495,0.5146683736127972,0.9382854654873012,0.5146683736127972,1.0010790558026117
linear_constraint_matrix_vars_presolved,1731,2,-0.14442506368876495,0.14442506368876495,0.5146683736127972,0.9382854654873012,0.5146683736127972,1.0010790558026117
optimizer_presolved_columns,1731,2,-0.14442506368876495,0.14442506368876495,0.5146683736127972,0.9382854654873012,0.5146683736127972,1.0010790558026117
optimizer_presolved_rows,31542,2,-0.14442506368876495,0.14442506368876495,0.5146683736127972,0.9382854654873012,0.5146683736127972,1.0010790558026117
optimizer_presolved_variable_types_continuous,1258,2,-0.14442506368876495,0.14442506368876495,0.5146683736127972,0.9382854654873012,0.5146683736127972,1.0010790558026117
variable_types_binary,495,2,-0.14442506368876495,0.14442506368876495,0.5146683736127972,0.9382854654873012,0.5146683736127972,1.0010790558026117
variable_types_continuous,8223,2,-0.14442506368876495,0.14442506368876495,0.5146683736127972,0.9382854654873012,0.5146683736127972,1.0010790558026117
variable_types_continuous_presolved,1258,2,-0.14442506368876495,0.14442506368876495,0.5146683736127972,0.9382854654873012,0.5146683736127972,1.0010790558026117
variable_types_integer,495,2,-0.14442506368876495,0.14442506368876495,0.5146683736127972,0.9382854654873012,0.5146683736127972,1.0010790558026117
linear_constraint_matrix_constrs,128793,3,0.14325903185022953,0.14325903185022953,1.4715541487728179,0.8693443208607335,1.3678253221660643,0.9710347056073942
optimizer_presolved_variable_types_binary,651,3,0.14325903185022953,0.14325903185022953,1.4715541487728179,0.8693443208607335,1.3678253221660643,0.9710347056073942
optimizer_presolved_variable_types_integer,651,3,0.14325903185022953,0.14325903185022953,1.4715541487728179,0.8693443208607335,1.3678253221660643,0.9710347056073942
variable_types_binary_presolved,651,3,0.14325903185022953,0.14325903185022953,1.4715541487728179,0.8693443208607335,1.3678253221660643,0.9710347056073942
variable_types_integer_presolved,651,3,0.14325903185022953,0.14325903185022953,1.4715541487728179,0.8693443208607335,1.3678253221660643,0.9710347056073942
cutting_planes_cover,30.0,4,-0.1423461554757832,0.1423461554757832,0.6189793355801031,0.9419559292947085,0.6627330642307021,1.0066755646541998
linear_constraint_matrix_vars_presolved,1631,3,-0.14204516479152426,0.14204516479152426,0.5606117445583502,0.9393785464962274,0.6105319853766583,1.0039605028591074
optimizer_presolved_columns,1631,3,-0.14204516479152426,0.14204516479152426,0.5606117445583502,0.9393785464962274,0.6105319853766583,1.0039605028591074
extra_simplex_iterations_after_uncrush,39,2,0.1413327123520074,0.1413327123520074,1.4503414588683494,0.869629909384967,1.4503414588683494,0.9743455390810241
linear_constraint_matrix_constrs,76610,6,-0.1408866985348934,0.1408866985348934,0.5469211799261281,0.9419559292947085,0.7289498601423166,1.0110783559477956
optimizer_presolved_variable_types_binary,473,6,-0.1408866985348934,0.1408866985348934,0.5469211799261281,0.9419559292947085,0.7289498601423166,1.0110783559477956
optimizer_presolved_variable_types_integer,473,6,-0.1408866985348934,0.1408866985348934,0.5469211799261281,0.9419559292947085,0.7289498601423166,1.0110783559477956
variable_types_binary_presolved,473,6,-0.1408866985348934,0.1408866985348934,0.5469211799261281,0.9419559292947085,0.7289498601423166,1.0110783559477956
