parameter,level,count,median,mean,min,max
cutting_planes_cover,39.0,1,0.6136691613168218,0.6136691613168218,0.6136691613168218,0.6136691613168218
optimizer_presolved_variable_types_continuous,1357,3,0.6136691613168218,0.6864899846555391,0.4950158632328357,0.9507849294169595
variable_types_continuous_presolved,1357,3,0.6136691613168218,0.6864899846555391,0.4950158632328357,0.9507849294169595
optimizer_presolve_removed_rows,74048,3,0.6136691613168218,0.7398991729555485,0.4950158632328357,1.1110124943169881
extra_simplex_iterations_after_uncrush,36,1,0.6170821339560923,0.6170821339560923,0.6170821339560923,0.6170821339560923
cutting_planes_cover,30.0,4,0.6189793355801031,0.6627330642307021,0.5430580878534023,0.8699154979092004
linear_constraint_matrix_constrs_presolved,54625,2,0.6193169584705367,0.6193169584705367,0.5671582617837135,0.6714756551573599
linear_constraint_matrix_nzs,724817,2,0.6193169584705367,0.6193169584705367,0.5671582617837135,0.6714756551573599
linear_constraint_matrix_vars_presolved,1898,2,0.6193169584705367,0.6193169584705367,0.5671582617837135,0.6714756551573599
optimizer_presolve_removed_columns,6844,2,0.6193169584705367,0.6193169584705367,0.5671582617837135,0.6714756551573599
optimizer_presolve_removed_rows,74098,2,0.6193169584705367,0.6193169584705367,0.5671582617837135,0.6714756551573599
optimizer_presolved_columns,1898,2,0.6193169584705367,0.6193169584705367,0.5671582617837135,0.6714756551573599
optimizer_presolved_rows,54625,2,0.6193169584705367,0.6193169584705367,0.5671582617837135,0.6714756551573599
cutting_planes_cover,31.0,2,0.620259404447554,0.620259404447554,0.4950158632328357,0.7455029456622723
linear_constraint_matrix_constrs_presolved,54676,1,0.6252550700873188,0.6252550700873188,0.6252550700873188,0.6252550700873188
linear_constraint_matrix_nzs,724957,1,0.6252550700873188,0.6252550700873188,0.6252550700873188,0.6252550700873188
linear_constraint_matrix_vars_presolved,1950,1,0.6252550700873188,0.6252550700873188,0.6252550700873188,0.6252550700873188
optimizer_presolve_removed_columns,6852,1,0.6252550700873188,0.6252550700873188,0.6252550700873188,0.6252550700873188
optimizer_presolve_removed_rows,74067,1,0.6252550700873188,0.6252550700873188,0.6252550700873188,0.6252550700873188
optimizer_presolved_columns,1950,1,0.6252550700873188,0.6252550700873188,0.6252550700873188,0.6252550700873188
optimizer_presolved_rows,54676,1,0.6252550700873188,0.6252550700873188,0.6252550700873188,0.6252550700873188
optimizer_presolved_variable_types_binary,601,1,0.6252550700873188,0.6252550700873188,0.6252550700873188,0.6252550700873188
optimizer_presolved_variable_types_continuous,1349,1,0.6252550700873188,0.6252550700873188,0.6252550700873188,0.6252550700873188
optimizer_presolved_variable_types_integer,601,1,0.6252550700873188,0.6252550700873188,0.6252550700873188,0.6252550700873188
rhs_coefficient_range_presolved,"[ 4.89465e-08, 22.2728 ]",1,0.6252550700873188,0.6252550700873188,0.6252550700873188,0.6252550700873188
variable_types_binary,652,1,0.6252550700873188,0.6252550700873188,0.6252550700873188,0.6252550700873188
variable_types_binary_presolved,601,1,0.6252550700873188,0.6252550700873188,0.6252550700873188,0.6252550700873188
variable_types_continuous_presolved,1349,1,0.6252550700873188,0.6252550700873188,0.6252550700873188,0.6252550700873188
variable_types_integer,652,1,0.6252550700873188,0.6252550700873188,0.6252550700873188,0.6252550700873188
variable_types_integer_presolved,601,1,0.6252550700873188,0.6252550700873188,0.6252550700873188,0.6252550700873188
cutting_planes_clique,4.0,3,0.6252550700873188,0.7722663029585529,0.6136691613168218,1.0778746774715178
cutting_planes_cover,16.0,3,0.6252550700873188,0.8167637715514345,0.5671582617837135,1.2578779827832711
cutting_planes_clique,11.0,1,0.6263363480881847,0.6263363480881847,0.6263363480881847,0.6263363480881847
cutting_planes_projected_implied_bound,4.0,1,0.6263363480881847,0.6263363480881847,0.6263363480881847,0.6263363480881847
extra_simplex_iterations_after_uncrush,9,1,0.6263363480881847,0.6263363480881847,0.6263363480881847,0.6263363480881847
cutting_planes_cover,6.0,4,0.6288864101280304,0.6996287447753474,0.45126214500731127,1.0894800138380174
optimizer_presolved_variable_types_continuous,1317,8,0.6358798583962064,0.6466873548719323,0.45126214500731127,1.0
variable_types_continuous_presolved,1317,8,0.6358798583962064,0.6466873548719323,0.45126214500731127,1.0
extra_simplex_iterations_after_uncrush,94,1,0.6475435678621138,0.6475435678621138,0.6475435678621138,0.6475435678621138
linear_constraint_matrix_constrs_presolved,52084,1,0.6475435678621138,0.6475435678621138,0.6475435678621138,0.6475435678621138
linear_constraint_matrix_nzs,711450,1,0.6475435678621138,0.6475435678621138,0.6475435678621138,0.6475435678621138
linear_constraint_matrix_vars,8895,1,0.6475435678621138,0.6475435678621138,0.6475435678621138,0.6475435678621138
linear_constraint_matrix_vars_presolved,2082,1,0.6475435678621138,0.6475435678621138,0.6475435678621138,0.6475435678621138
optimizer_presolve_removed_rows,73143,1,0.6475435678621138,0.6475435678621138,0.6475435678621138,0.6475435678621138
optimizer_presolved_columns,2082,1,0.6475435678621138,0.6475435678621138,0.6475435678621138,0.6475435678621138
optimizer_presolved_rows,52084,1,0.6475435678621138,0.6475435678621138,0.6475435678621138,0.6475435678621138
optimizer_presolved_variable_types_continuous,1468,1,0.6475435678621138,0.6475435678621138,0.6475435678621138,0.6475435678621138
variable_types_binary,653,1,0.6475435678621138,0.6475435678621138,0.6475435678621138,0.6475435678621138
variable_types_continuous_presolved,1468,1,0.6475435678621138,0.6475435678621138,0.6475435678621138,0.6475435678621138
variable_types_integer,653,1,0.6475435678621138,0.6475435678621138,0.6475435678621138,0.6475435678621138
extra_simplex_iterations_dual_to_original,46,2,0.6521901965084884,0.6521901965084884,0.4950158632328357,0.8093645297841411
linear_constraint_matrix_vars,8772,3,0.6602242455480435,0.6240224352609014,0.4663401145723885,0.7455029456622723
linear_constraint_matrix_vars_presolved,1908,3,0.6602242455480435,0.6240224352609014,0.4663401145723885,0.7455029456622723
optimizer_presolve_removed_columns,6864,3,0.6602242455480435,0.6240224352609014,0.4663401145723885,0.7455029456622723
